Nb,Input,Output
912400,952554,332935
912300,953628,333335
912200,954728,333724
912100,955815,334119
912000,956836,334493
911900,957868,334886
911800,958954,335279
911700,960055,335662
911600,961153,336035
911500,962181,336418
911400,963265,336806
911300,964373,337192
911200,965394,337551
911100,966537,337971
911000,967638,338367
910900,968740,338752
910800,969778,339122
910700,970867,339512
910600,971951,339901
910500,973022,340273
910400,974113,340666
910300,975166,341046
910200,976242,341456
910100,977339,341840
910000,978416,342221
909900,979485,342612
909800,980511,343007
909700,981612,343409
909600,982773,343815
909500,983873,344193
909400,984963,344579
909300,986086,344978
909200,987182,345365
909100,988240,345742
909000,989348,346138
908900,990421,346507
908800,991433,346867
908700,992573,347292
908600,993634,347641
908500,994738,348052
908400,995863,348452
908300,996956,348832
908200,997997,349208
908100,999074,349596
908000,1000182,349987
907900,1001289,350399
907800,1002357,350781
907700,1003432,351167
907600,1004551,351568
907500,1005668,351941
907400,1006801,352339
907300,1007946,352722
907200,1009043,353133
907100,1010095,353489
907000,1011136,353882
906900,1012239,354294
906800,1013300,354657
906700,1014373,355033
906600,1015476,355431
906500,1016560,355824
906400,1017656,356202
906300,1018712,356584
906200,1019760,356957
906100,1020869,357356
906000,1021913,357739
905900,1022977,358108
905800,1024061,358512
905700,1025145,358885
905600,1026199,359261
905500,1027310,359666
905400,1028387,360063
905300,1029461,360437
905200,1030582,360821
905100,1031660,361186
905000,1032763,361580
904900,1033866,361978
904800,1034984,362375
904700,1036107,362763
904600,1037207,363149
904500,1038337,363553
904400,1039377,363918
904300,1040473,364330
904200,1041499,364682
904100,1042533,365067
904000,1043626,365482
903900,1044727,365871
903800,1045854,366271
903700,1046964,366655
903600,1048092,367039
903500,1049161,367415
903400,1050317,367821
903300,1051423,368184
903200,1052506,368569
903100,1053572,368967
903000,1054683,369359
902900,1055811,369764
902800,1056918,370156
902700,1057984,370524
902600,1059066,370919
902500,1060163,371314
902400,1061286,371717
902300,1062379,372103
902200,1063451,372478
902100,1064520,372881
902000,1065644,373296
901900,1066714,373662
901800,1067804,374051
901700,1068846,374443
901600,1069922,374834
901500,1071015,375232
901400,1072135,375629
901300,1073272,376019
901200,1074346,376380
901100,1075454,376767
901000,1076594,377150
900900,1077687,377543
900800,1078777,377933
900700,1079823,378309
900600,1080810,378681
900500,1081915,379100
900400,1083010,379480
900300,1084071,379860
900200,1085102,380234
900100,1086174,380616
900000,1087291,381015
899900,1088404,381407
899800,1089492,381786
899700,1090587,382177
899600,1091710,382577
899500,1092800,382957
899400,1093891,383332
899300,1094973,383707
899200,1096060,384091
899100,1097143,384488
899000,1098232,384900
898900,1099310,385275
898800,1100377,385671
898700,1101410,386053
898600,1102452,386443
898500,1103515,386866
898400,1104630,387251
898300,1105764,387647
898200,1106833,388003
898100,1107928,388412
898000,1108990,388802
897900,1110036,389166
897800,1111174,389566
897700,1112223,389943
897600,1113274,390323
897500,1114376,390739
897400,1115430,391114
897300,1116522,391520
897200,1117607,391906
897100,1118702,392297
897000,1119823,392685
896900,1120888,393068
896800,1121969,393481
896700,1123024,393860
896600,1124089,394246
896500,1125137,394634
896400,1126198,395031
896300,1127305,395433
896200,1128377,395811
896100,1129476,396246
896000,1130517,396611
895900,1131609,397004
895800,1132655,397386
895700,1133687,397779
895600,1134777,398177
895500,1135881,398579
895400,1136982,398967
895300,1138048,399365
895200,1139164,399773
895100,1140258,400167
895000,1141293,400551
894900,1142377,400951
894800,1143457,401343
894700,1144551,401737
894600,1145657,402129
894500,1146711,402499
894400,1147799,402909
894300,1148867,403281
894200,1149979,403700
894100,1151103,404085
894000,1152182,404471
893900,1153237,404847
893800,1154282,405243
893700,1155371,405643
893600,1156430,406030
893500,1157463,406425
893400,1158515,406810
893300,1159604,407208
893200,1160661,407589
893100,1161774,408006
893000,1162876,408375
892900,1163944,408743
892800,1165045,409167
892700,1166085,409515
892600,1167156,409910
892500,1168233,410314
892400,1169259,410689
892300,1170285,411061
892200,1171386,411480
892100,1172445,411848
892000,1173512,412222
891900,1174599,412630
891800,1175649,412999
891700,1176699,413391
891600,1177793,413797
891500,1178909,414183
891400,1179973,414567
891300,1181023,414937
891200,1182161,415345
891100,1183221,415706
891000,1184290,416090
890900,1185392,416502
890800,1186499,416903
890700,1187532,417264
890600,1188647,417679
890500,1189749,418068
890400,1190797,418441
890300,1191854,418831
890200,1192911,419223
890100,1193966,419624
890000,1195079,420029
889900,1196151,420430
889800,1197234,420808
889700,1198324,421211
889600,1199389,421582
889500,1200490,421985
889400,1201594,422379
889300,1202726,422780
889200,1203778,423175
889100,1204862,423562
889000,1205930,423970
888900,1206989,424349
888800,1208051,424728
888700,1209174,425138
888600,1210229,425513
888500,1211351,425919
888400,1212382,426290
888300,1213436,426702
888200,1214531,427103
888100,1215600,427475
888000,1216674,427861
887900,1217741,428251
887800,1218839,428629
887700,1219995,429036
887600,1221068,429420
887500,1222150,429816
887400,1223290,430218
887300,1224353,430591
887200,1225416,431005
887100,1226520,431407
887000,1227608,431786
886900,1228680,432166
886800,1229774,432580
886700,1230850,432965
886600,1231948,433380
886500,1233085,433787
886400,1234112,434143
886300,1235255,434553
886200,1236331,434919
886100,1237427,435315
886000,1238489,435676
885900,1239562,436066
885800,1240635,436458
885700,1241699,436848
885600,1242716,437230
885500,1243735,437624
885400,1244824,438019
885300,1245838,438391
885200,1246932,438802
885100,1248018,439182
885000,1249097,439560
884900,1250204,439980
884800,1251278,440364
884700,1252375,440746
884600,1253424,441132
884500,1254442,441529
884400,1255527,441940
884300,1256680,442334
884200,1257694,442690
884100,1258728,443097
884000,1259773,443469
883900,1260870,443863
883800,1261958,444253
883700,1263049,444628
883600,1264121,444997
883500,1265141,445372
883400,1266234,445770
883300,1267293,446143
883200,1268355,446537
883100,1269460,446940
883000,1270580,447334
882900,1271680,447713
882800,1272745,448094
882700,1273858,448486
882600,1274943,448878
882500,1276016,449254
882400,1277054,449641
882300,1278127,450041
882200,1279208,450427
882100,1280293,450835
882000,1281376,451232
881900,1282440,451619
881800,1283505,452021
881700,1284633,452424
881600,1285694,452793
881500,1286755,453187
881400,1287857,453610
881300,1288959,454003
881200,1290022,454390
881100,1291048,454782
881000,1292142,455182
880900,1293261,455575
880800,1294305,455937
880700,1295323,456321
880600,1296498,456736
880500,1297579,457110
880400,1298691,457495
880300,1299776,457893
880200,1300815,458270
880100,1301846,458634
880000,1302904,459031
879900,1303939,459409
879800,1305014,459821
879700,1306104,460216
879600,1307156,460612
879500,1308249,461008
879400,1309338,461409
879300,1310402,461815
879200,1311510,462219
879100,1312547,462598
879000,1313666,463008
878900,1314731,463380
878800,1315855,463809
878700,1316897,464158
878600,1317956,464557
878500,1319021,464960
