Nb,Input,Output
66700,41427,22038
66800,41658,22134
66900,41865,22229
67000,42089,22322
67100,42302,22401
67200,42531,22497
67300,42753,22593
67400,42972,22677
67500,43182,22761
67600,43388,22846
67700,43598,22932
67800,43830,23031
67900,44053,23126
68000,44249,23207
68100,44469,23290
68200,44679,23376
68300,44910,23471
68400,45126,23565
68500,45351,23659
68600,45605,23762
68700,45822,23843
68800,46040,23927
68900,46275,24017
69000,46494,24097
69100,46743,24199
69200,46954,24277
69300,47178,24356
69400,47400,24436
69500,47638,24534
69600,47890,24635
69700,48106,24719
69800,48323,24792
69900,48551,24879
70000,48768,24962
70100,48992,25059
70200,49191,25135
70300,49420,25229
70400,49643,25317
70500,49867,25416
70600,50089,25508
70700,50344,25608
70800,50583,25705
70900,50829,25798
71000,51038,25874
71100,51287,25961
71200,51519,26051
71300,51756,26142
71400,51992,26228
71500,52224,26323
71600,52463,26417
71700,52702,26506
71800,52956,26601
71900,53205,26690
72000,53451,26790
72100,53667,26873
72200,53893,26955
72300,54166,27059
72400,54421,27159
72500,54644,27236
72600,54881,27326
72700,55136,27412
72800,55377,27500
72900,55652,27606
73000,55883,27699
73100,56116,27774
73200,56361,27874
73300,56611,27972
73400,56837,28050
73500,57089,28128
73600,57321,28221
73700,57573,28316
73800,57800,28398
73900,58012,28483
74000,58247,28571
74100,58457,28656
74200,58666,28746
74300,58893,28828
74400,59144,28942
74500,59412,29045
74600,59674,29151
74700,59911,29234
74800,60133,29316
74900,60397,29417
75000,60634,29502
75100,60882,29590
75200,61137,29677
75300,61392,29778
75400,61641,29863
75500,61892,29958
75600,62126,30033
75700,62378,30137
75800,62625,30249
75900,62882,30342
76000,63137,30443
76100,63366,30530
76200,63606,30617
76300,63869,30711
76400,64142,30805
76500,64390,30893
76600,64660,30980
76700,64908,31082
76800,65119,31150
76900,65393,31247
77000,65671,31346
77100,65906,31435
77200,66174,31531
77300,66422,31621
77400,66690,31714
77500,66966,31816
77600,67231,31901
77700,67473,31984
77800,67748,32073
77900,68005,32172
78000,68233,32253
78100,68474,32336
78200,68738,32441
78300,68982,32529
78400,69240,32622
78500,69488,32711
78600,69726,32793
78700,69976,32892
78800,70247,32993
78900,70507,33074
79000,70807,33182
79100,71063,33277
79200,71323,33366
79300,71588,33461
79400,71828,33543
79500,72101,33646
79600,72348,33728
79700,72600,33820
79800,72858,33909
79900,73123,33999
80000,73368,34094
80100,73619,34191
80200,73864,34270
80300,74123,34363
80400,74352,34449
80500,74590,34539
80600,74900,34653
80700,75169,34755
80800,75447,34848
80900,75681,34926
81000,75948,35018
81100,76177,35099
81200,76431,35188
81300,76716,35297
81400,76975,35397
81500,77221,35481
81600,77483,35570
81700,77752,35670
81800,78023,35768
81900,78261,35843
82000,78524,35937
82100,78824,36040
82200,79106,36148
82300,79383,36240
82400,79638,36332
82500,79929,36434
82600,80215,36530
82700,80471,36616
82800,80745,36709
82900,80976,36786
83000,81239,36869
83100,81515,36973
83200,81829,37080
83300,82133,37174
83400,82437,37266
83500,82701,37365
83600,82989,37454
83700,83222,37537
83800,83473,37620
83900,83724,37706
84000,84019,37818
84100,84310,37928
84200,84576,38018
84300,84854,38109
84400,85131,38198
84500,85420,38287
84600,85729,38398
84700,86051,38502
84800,86348,38595
84900,86632,38686
85000,86968,38796
85100,87216,38872
85200,87512,38968
85300,87778,39054
85400,88050,39147
85500,88349,39249
85600,88630,39350
85700,88920,39435
85800,89175,39518
85900,89439,39615
86000,89778,39728
86100,90096,39845
86200,90399,39934
86300,90688,40025
86400,90974,40116
86500,91253,40207
86600,91515,40303
86700,91824,40401
86800,92115,40505
86900,92406,40597
87000,92669,40686
87100,92950,40778
87200,93248,40882
87300,93520,40968
87400,93822,41061
87500,94118,41158
87600,94427,41256
87700,94723,41348
87800,95022,41430
87900,95322,41530
